name,un_code,short_en,short_es
Bulgaria,100,Bulgaria,Bulgaria
Argelia,12,Algeria,Argelia
Canadá,124,Canada,Canadá
Chile,152,Chile,Chile
China,156,China,China
Colombia,170,Colombia,Colombia
Croacia,191,Croatia,Croacia
Chipre,196,Cyprus,Chipre
República Checa,203,Czech Rep.,Rep. Checa
Dinamarca,208,Denmark,Dinamarca
Estonia,233,Estonia,Estonia
Angola,24,Angola,Angola
Finlandia,246,Finland,Finlandia
Francia,250,France,Francia
Alemania,276,Germany,Alemania
Grecia,300,Greece,Grecia
Argentina,32,Argentina,Argentina
Hungría,348,Hungary,Hungría
Islandia,352,Iceland,Islandia
India,356,India,India
Australia,36,Australia,Australia
Indonesia,360,Indonesia,Indonesia
Irán,364,Iran,Irán
Irak,368,Iraq,Irak
Irlanda,372,Ireland,Irlanda
Israel,376,Israel,Israel
Italia,380,Italy,Italia
Japón,392,Japan,Japón
Kazajistán,398,Kazakhstan,Kazajistán
Austria,40,Austria,Austria
Corea del Sur,410,South Korea,Corea del Sur
Kuwait,414,Kuwait,Kuwait
Letonia,428,Latvia,Letonia
Lituania,440,Lithuania,Lituania
Luxemburgo,442,Luxembourg,Luxemburgo
Malasia,458,Malaysia,Malasia
Malta,470,Malta,Malta
México,484,Mexico,México
Bangladesh,50,Bangladesh,Bangladesh
Países Bajos,528,Netherlands,Países Bajos
Nueva Zelanda,554,New Zealand,Nueva Zelanda
Bélgica,56,Belgium,Bélgica
Nigeria,566,Nigeria,Nigeria
Noruega,578,Norway,Noruega
Pakistán,586,Pakistan,Pakistán
Perú,604,Peru,Perú
Filipinas,608,Philippines,Filipinas
Polonia,616,Poland,Polonia
Portugal,620,Portugal,Portugal
Qatar,634,Qatar,Qatar
Rumanía,642,Romania,Rumanía
Rusia,643,Russia,Rusia
Arabia Saudí,682,Saudi Arabia,Arabia Saudí
Singapur,702,Singapore,Singapur
Eslovaquia,703,Slovakia,Eslovaquia
Vietnam,704,Vietnam,Vietnam
Eslovenia,705,Slovenia,Eslovenia
Sudáfrica,710,South Africa,Sudáfrica
España,724,Spain,España
Suecia,752,Sweden,Suecia
Suiza,756,Switzerland,Suiza
Brasil,76,Brazil,Brasil
Tailandia,764,Thailand,Tailandia
Emiratos Árabes Unidos,784,UAE,EAU
Turquía,792,Turkey,Turquía
Ucrania,804,Ukraine,Ucrania
Egipto,818,Egypt,Egipto
Reino Unido,826,United Kingdom,Reino Unido
Estados Unidos de América,840,USA,EE. UU.
Venezuela,862,Venezuela,Venezuela
